,,,,,Currency in USD,
Date,Open,High,Low,Close,Adj Close,Volume
26-06-2023,40.779999,43.220001,40.34,42.68,41.443554,83343500
03-07-2023,42.880001,43.619999,42.240002,42.77,41.530945,53455300
10-07-2023,42.709999,45.310001,42.07,43.560001,42.298061,95002500
17-07-2023,43.560001,47.240002,43.549999,45.959999,44.628532,103429200
24-07-2023,45.970001,47.169998,45.43,46.139999,44.803314,77237500
31-07-2023,46.34,46.68,44.509998,44.849998,43.550686,61291200
07-08-2023,45.18,45.459999,43.380001,43.73,42.79525,56652300
14-08-2023,43.529999,43.91,42.049999,42.5,41.591541,58072000
21-08-2023,42.650002,42.869999,40.77,41.23,40.348686,61060600
28-08-2023,41.41,42.369999,41.110001,41.650002,40.759712,71679700
04-09-2023,41.650002,42.279999,40.299999,41,40.1236,60834800
11-09-2023,41.380001,43.389999,41.209999,42.950001,42.031921,116754700
18-09-2023,42.990002,43.740002,41.150002,41.23,40.348686,79726700
25-09-2023,40.880001,41.619999,40.360001,40.860001,39.986599,63232600
02-10-2023,40.700001,40.759998,38.389999,39.689999,38.841602,74492000
09-10-2023,39.110001,41.639999,39.099998,40.959999,40.084457,84318200
16-10-2023,41.470001,42.369999,39.939999,40.27,39.409206,85060500
23-10-2023,40.259998,40.380001,38.580002,38.759998,37.93148,71795700
30-10-2023,39.099998,41.860001,38.689999,41.619999,40.730347,82056000
06-11-2023,41.790001,41.790001,40.27,40.889999,40.372692,77077300
13-11-2023,40.740002,43.029999,40.529999,42.959999,42.416504,80436600
20-11-2023,42.860001,43.110001,42.150002,42.919998,42.37701,43596900
27-11-2023,42.639999,45.240002,42.52,45.02,44.450447,89156100
04-12-2023,44.709999,46.34,44.41,46.099998,45.516781,85903700
11-12-2023,45.900002,50.77,45.57,50.310001,49.673523,152667200
18-12-2023,50.41,50.57,49.09,49.18,48.557816,83145300
25-12-2023,49.16,49.669998,49.029999,49.220001,48.597309,42997800
01-01-2024,49.049999,50.470001,48.32,49.919998,49.288452,67560700
08-01-2024,49.380001,49.990002,47,47.400002,46.800335,92096600
15-01-2024,46.77,48.18,46.119999,48.119999,47.511223,86159200
22-01-2024,48.23,50.5,48.16,50.32,49.683395,90761000
29-01-2024,50.16,51.439999,47.880001,49.16,48.538071,98751500
05-02-2024,48.610001,49.119999,47.450001,48.060001,47.785282,71402100
12-02-2024,48,52.450001,47.59,51.91,51.613274,111261700
19-02-2024,51.5,54.02,51.130001,53.860001,53.552128,79734200
26-02-2024,53.75,55.75,53.68,55.060001,54.74527,103787300
04-03-2024,54.869999,57.68,54.73,57.07,56.743778,102674400
11-03-2024,56.779999,58.439999,56.52,57.509998,57.181263,123323300
18-03-2024,57.599998,58.119999,56.279999,57.130001,56.803436,85600800
25-03-2024,57.080002,58.080002,56.369999,57.959999,57.628693,54855900
01-04-2024,57.880001,58,56.540001,57.400002,57.071896,62340200
08-04-2024,57.380001,57.990002,55.34,56.470001,56.147209,89293300
15-04-2024,57.610001,60.849998,55.66,60.349998,60.005028,122694600
22-04-2024,60.400002,61.759998,59.380001,59.91,59.567547,106004600
29-04-2024,59.860001,60.299999,59.119999,59.939999,59.597374,82339500
06-05-2024,60.470001,61.970001,59.84,61.889999,61.536228,79879200
13-05-2024,61.959999,62.549999,60.889999,61.080002,61.080002,84092600
20-05-2024,60.98,61.790001,59.360001,60.209999,60.209999,66760200
27-05-2024,59.970001,60.18,58.419998,59.919998,59.919998,63082700
03-06-2024,60.200001,60.200001,57.5,58.360001,58.360001,69980400
10-06-2024,57.900002,58.450001,56.509998,57.400002,57.400002,80260500
17-06-2024,57.209999,59.200001,57.07,58.099998,58.099998,108627200
24-06-2024,58.490002,59.459999,57.18,57.200001,57.200001,42925200
25-06-2024,58.77,59,57.18,57.200001,57.200001,26717827
